guid,tag
3660,positive
3898,positive
751,positive
3963,positive
3891,negative
312,positive
867,positive
3268,positive
1697,positive
1791,negative
3701,positive
2055,positive
3914,negative
3572,negative
1660,negative
2943,positive
424,positive
1285,negative
3039,positive
1642,negative
1111,positive
1539,negative
3401,positive
2098,neutral
3400,negative
4345,negative
1352,positive
4681,negative
3005,positive
2362,positive
2154,positive
1512,positive
2677,positive
848,negative
1243,positive
3637,positive
1990,negative
2627,positive
948,positive
5039,positive
1587,positive
55,negative
4738,positive
4205,negative
3494,positive
2758,negative
479,positive
1898,positive
3046,positive
1088,negative
1039,negative
1875,positive
1100,negative
224,neutral
2585,positive
2888,positive
1309,positive
4693,negative
3651,positive
383,positive
1057,positive
2607,positive
3306,positive
310,negative
2646,positive
1490,negative
4860,negative
1606,negative
3554,neutral
3580,positive
4947,positive
3889,neutral
5,positive
2704,positive
3346,positive
2480,neutral
3842,positive
4807,positive
3001,positive
4715,positive
4410,positive
1290,negative
4644,negative
4294,positive
4847,positive
2750,negative
1861,positive
4272,negative
617,negative
1574,negative
2332,positive
1974,negative
3399,positive
3714,positive
5092,negative
2709,negative
1435,positive
4449,positive
2939,negative
1429,negative
145,positive
250,positive
4871,negative
1868,positive
1508,positive
4811,positive
3222,positive
566,negative
558,positive
38,neutral
533,positive
2527,positive
2078,positive
3731,positive
124,positive
4774,positive
967,neutral
3016,negative
2911,positive
4613,positive
4201,positive
4877,negative
4306,positive
3671,positive
4255,negative
1105,negative
1806,negative
3061,positive
1830,negative
3417,positive
60,negative
1933,negative
3022,positive
2635,negative
2815,negative
1301,positive
575,positive
4925,negative
4112,positive
5127,neutral
4795,positive
334,positive
3126,positive
912,neutral
3969,positive
3451,positive
3336,positive
923,positive
2737,positive
2443,negative
1312,positive
3505,positive
2764,positive
4580,positive
3854,positive
2570,negative
2989,positive
2115,positive
3462,negative
1699,positive
4898,positive
4138,positive
1866,positive
2915,negative
1635,negative
1908,positive
4030,positive
4771,negative
3248,positive
494,negative
3161,negative
20,positive
3300,positive
4242,neutral
1476,positive
1879,positive
1384,neutral
1616,positive
4376,positive
3884,neutral
2026,negative
4291,negative
4790,positive
657,positive
2873,positive
812,negative
2893,negative
3296,positive
126,positive
2469,positive
3206,positive
2019,positive
916,positive
4621,positive
1620,negative
184,positive
5017,positive
1201,positive
5111,neutral
4417,positive
4431,negative
4434,positive
4920,negative
272,negative
279,positive
3020,negative
2325,positive
2858,positive
4288,positive
1596,positive
803,positive
4363,positive
1895,positive
3044,neutral
4721,negative
698,negative
1426,positive
2016,negative
3745,negative
4903,positive
534,negative
3650,positive
3371,positive
112,negative
176,positive
573,positive
4919,neutral
3276,positive
480,positive
87,positive
911,positive
3705,positive
3082,positive
2537,positive
4450,positive
1497,positive
3083,positive
443,negative
2957,positive
2099,positive
2962,neutral
460,positive
1918,negative
3052,negative
13,negative
863,positive
1252,positive
3570,positive
4684,positive
2046,positive
1537,positive
2555,positive
1052,positive
1713,negative
2597,negative
282,negative
3833,negative
4885,positive
4587,positive
1401,positive
1281,negative
2085,positive
565,positive
1205,negative
1560,negative
4064,negative
1036,positive
2606,positive
4777,positive
588,negative
609,positive
3279,positive
3511,positive
4796,negative
2107,positive
1106,negative
3395,positive
2546,positive
4678,positive
1000,positive
1048,positive
1059,positive
1485,positive
3195,positive
2029,negative
